ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;price_H;pseudoprice_H;baseprice_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle
AD00001;AD00001;"Ämter und Behörden";;"Portal Service GmbH & Co. KG";19.00;5099;;;;;;1;;;"Branche: Ämter und Behörden, Datensätze: 25495";"Branche: Ämter und Behörden, Datensätze: 25495";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00002;AD00002;"Ämter und Behörden Baden-Württemberg";;"Portal Service GmbH & Co. KG";19.00;789;;;;;;1;;;"Branche: Ämter und Behörden Baden-Württemberg, Datensätze: 3941";"Branche: Ämter und Behörden Baden-Württemberg, Datensätze: 3941";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00003;AD00003;"Ämter und Behörden Bayern";;"Portal Service GmbH & Co. KG";19.00;924;;;;;;1;;;"Branche: Ämter und Behörden Bayern, Datensätze: 4617";"Branche: Ämter und Behörden Bayern, Datensätze: 4617";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00004;AD00004;"Ämter und Behörden Berlin";;"Portal Service GmbH & Co. KG";19.00;66;;;;;;1;;;"Branche: Ämter und Behörden Berlin, Datensätze: 330";"Branche: Ämter und Behörden Berlin, Datensätze: 330";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00005;AD00005;"Ämter und Behörden Brandenburg";;"Portal Service GmbH & Co. KG";19.00;180;;;;;;1;;;"Branche: Ämter und Behörden Brandenburg, Datensätze: 900";"Branche: Ämter und Behörden Brandenburg, Datensätze: 900";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00006;AD00006;"Ämter und Behörden Bremen";;"Portal Service GmbH & Co. KG";19.00;21;;;;;;1;;;"Branche: Ämter und Behörden Bremen, Datensätze: 101";"Branche: Ämter und Behörden Bremen, Datensätze: 101";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00007;AD00007;"Ämter und Behörden Hamburg";;"Portal Service GmbH & Co. KG";19.00;98;;;;;;1;;;"Branche: Ämter und Behörden Hamburg, Datensätze: 489";"Branche: Ämter und Behörden Hamburg, Datensätze: 489";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00008;AD00008;"Ämter und Behörden Hessen";;"Portal Service GmbH & Co. KG";19.00;399;;;;;;1;;;"Branche: Ämter und Behörden Hessen, Datensätze: 1993";"Branche: Ämter und Behörden Hessen, Datensätze: 1993";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00009;AD00009;"Ämter und Behörden Mecklenburg-Vorpommern";;"Portal Service GmbH & Co. KG";19.00;158;;;;;;1;;;"Branche: Ämter und Behörden Mecklenburg-Vorpommern, Datensätze: 790";"Branche: Ämter und Behörden Mecklenburg-Vorpommern, Datensätze: 790";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
AD00010;AD00010;"Ämter und Behörden Niedersachsen";;"Portal Service GmbH & Co. KG";19.00;441;;;;;;1;;;"Branche: Ämter und Behörden Niedersachsen, Datensätze: 2201";"Branche: Ämter und Behörden Niedersachsen, Datensätze: 2201";;;;;;;;;;;;;;;;;;;;;;;;;;;;6|7;;;;http://www.addressscout24.de/media/image/9d/1a/8c/addressbox01_large.png;;;;;;
