categoryId;parentID;description;position;metatitle;metakeywords;metadescription;cmsheadline;cmstext;template;active;blog;external;hidefilter;attribute_attribute1;attribute_attribute2;attribute_attribute3;attribute_attribute4;attribute_attribute5;attribute_attribute6;CustomerGroup
5;3;Branchen;;;;;;;;1;;;;;;;;;;
6;5;"Alle Branchen";;;;;;;;1;;;;;;;;;;
7;5;A;;;;;;;;1;;;;;;;;;;
8;5;B;;;;;;;;1;;;;;;;;;;
9;5;C;;;;;;;;1;;;;;;;;;;
10;5;D;;;;;;;;1;;;;;;;;;;
11;5;E;;;;;;;;1;;;;;;;;;;
12;5;F;;;;;;;;1;;;;;;;;;;
13;5;G;;;;;;;;1;;;;;;;;;;
14;5;H;;;;;;;;1;;;;;;;;;;
15;5;I;;;;;;;;1;;;;;;;;;;
16;5;J;;;;;;;;1;;;;;;;;;;
17;5;K;;;;;;;;1;;;;;;;;;;
18;5;L;;;;;;;;1;;;;;;;;;;
19;5;M;;;;;;;;1;;;;;;;;;;
20;5;N;;;;;;;;1;;;;;;;;;;
21;5;O;;;;;;;;1;;;;;;;;;;
22;5;P;;;;;;;;1;;;;;;;;;;
23;5;Q;;;;;;;;1;;;;;;;;;;
24;5;R;;;;;;;;1;;;;;;;;;;
25;5;S;;;;;;;;1;;;;;;;;;;
26;5;T;;;;;;;;1;;;;;;;;;;
27;5;U;;;;;;;;1;;;;;;;;;;
28;5;V;;;;;;;;1;;;;;;;;;;
29;5;W;;;;;;;;1;;;;;;;;;;
30;5;X;;;;;;;;1;;;;;;;;;;
31;5;Y;;;;;;;;1;;;;;;;;;;
32;5;Z;;;;;;;;1;;;;;;;;;;
