ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;price_H;pseudoprice_H;baseprice_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;variantId_2;articleId_2;name_2;keywords_2;metaTitle_2;description_2;descriptionLong_2;additionalText_2;packUnit_2;attr1_2;attr2_2;attr3_2;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle
AD00001;AD00001;"Ämter und Behörden";;"MaxxDiscount GmbH & Co. KG";19.00;5099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00002;AD00002;Änderungsschneidereien;;"MaxxDiscount GmbH & Co. KG";19.00;3819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00003;AD00003;"Ärzte und Heilberufe";;"MaxxDiscount GmbH & Co. KG";19.00;40186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00004;AD00004;"Ärzte, Gesundheitswesen und So";;"MaxxDiscount GmbH & Co. KG";19.00;56123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00005;AD00005;"Ärzte, niedergelassene";;"MaxxDiscount GmbH & Co. KG";19.00;17251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00006;AD00006;"Ärztebedarf Großhandel";;"MaxxDiscount GmbH & Co. KG";19.00;418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00007;AD00007;"Ärztebedarf und Krankenhausbed";;"MaxxDiscount GmbH & Co. KG";19.00;264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00008;AD00008;"Öfen Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00009;AD00009;"Öffentliche Sicherheit";;"MaxxDiscount GmbH & Co. KG";19.00;1773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00010;AD00010;"Ökologisch orientierte Unterne";;"MaxxDiscount GmbH & Co. KG";19.00;8644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
